winner_num,ar,ar_self
1.0,0.4997756091829826,-0.7033434622636257
2.0,0.7277873825077177,-0.45383208353618865
3.0,0.6457709684978623,-0.2974370281208667
4.0,0.7402645896014,-0.34739423406787584
5.0,0.727038159115104,-0.33777091679014937
6.0,0.788594974348857,-0.21017473861135616
7.0,0.7687363673101824,-0.21208493913293847
8.0,0.6666558514634153,-0.08455672941877024
9.0,0.6454298862428458,-0.039101888230197
10.0,0.595026680652599,-0.06503368219149008
11.0,0.6527980109360139,-0.08386604617089011
12.0,0.564203787498647,-0.07946792453302443
13.0,0.5469536566989952,-0.06619962389961953
14.0,0.5077545679133577,-0.08695591958413407
15.0,0.46503913499183613,-0.11249621092774975
16.0,0.5649064204117236,-0.09621287725620586
17.0,0.545705252486685,-0.09159957929390417
18.0,0.5224180651306742,-0.09899823625988857
19.0,0.5329957504197613,-0.12531174453581062
