Nom,Symbol
Adobe Inc.,ADBE
ADP,ADP
Advanced Micro Devices Inc.,AMD
Alphabet Inc. (Class A),GOOGL
Alphabet Inc. (Class C),GOOG
Amazon,AMZN
American Electric Power,AEP
Amgen,AMGN
Analog Devices,ADI
Apple Inc.,AAPL
Applied Materials,AMAT
ASML Holding,ASML
AstraZeneca,AZN
Atlassian,TEAM
Autodesk,ADSK
Axon Enterprise Inc.,AXON
Baker Hughes,BKR
Biogen,BIIB
Booking Holdings,BKNG
Broadcom Inc.,AVGO
Cadence Design Systems,CDNS
CDW Corporation,CDW
Charter Communications,CHTR
Check Point Software,CHKP
Cintas,CTAS
Cisco,CSCO
Coca-Cola Europacific Partners,CCEP
Cognizant,CTSH
Comcast,CMCSA
Copart,CPRT
CoStar Group,CSGP
Costco,COST
CSX Corporation,CSX
Danaher Corporation,DHR
DexCom,DXCM
Diamondback Energy,FANG
Electronic Arts,EA
Exelon,EXC
Fastenal,FAST
Fortinet,FTNT
Gilead Sciences,GILD
Honeywell,HON
IBM,IBM
Idexx Laboratories,IDXX
Intel,INTC
Intuit,INTU
Intuitive Surgical,ISRG
Keurig Dr Pepper,KDP
KLA Corporation,KLAC
Kraft Heinz,KHC
Lam Research,LRCX
Linde plc,LIN
Lululemon Athletica,LULU
Marriott International,MAR
Marvell Technology,MRVL
Mastercard Inc.,MA
MercadoLibre,MELI
Meta Platforms,META
Microchip Technology,MCHP
Micron Technology,MU
Microsoft,MSFT
MicroStrategy Inc.,MSTR
Mondelez International,MDLZ
Monster Beverage,MNST
Netflix,NFLX
Nvidia,NVDA
NXP Semiconductors,NXPI
Old Dominion Freight Line,ODFL
Onsemi,ON
Oracle Corporation,ORCL
O'Reilly Automotive,ORLY
Paccar,PCAR
Palo Alto Networks,PANW
Paychex,PAYX
Paycom Software Inc.,PAYC
PayPal,PYPL
PDD Holdings,PDD
PepsiCo,PEP
Qualcomm,QCOM
Regeneron Pharmaceuticals,REGN
Roper Technologies,ROP
Ross Stores,ROST
Salesforce.com,CRM
ServiceNow Inc.,NOW
Shopify,SHOP
Starbucks,SBUX
Synopsys,SNPS
Take-Two Interactive,TTWO
"Tesla, Inc.",TSLA
Texas Instruments,TXN
Thermo Fisher Scientific,TMO
T-Mobile US,TMUS
Trade Desk (The),TTD
Verisk,VRSK
Vertex Pharmaceuticals,VRTX
Visa Inc.,V
Warner Bros. Discovery,WBD
"Workday, Inc.",WDAY
Xcel Energy,XEL
Zscaler,ZS
