"index","ticker"
0,"ADS.DE"
1,"ADYEN.AS"
2,"AD.AS"
3,"AI.PA"
4,"AIR.PA"
5,"ALV.DE"
6,"ABI.BR"
7,"ASML.AS"
8,"CS.PA"
9,"BAS.DE"
10,"BAYN.DE"
11,"BBVA.MC"
12,"BNP.PA"
13,"BN.PA"
14,"DB1.DE"
15,"DHL.DE"
16,"DTE.DE"
17,"ENEL.MI"
18,"ENI.MI"
19,"EL.PA"
20,"RACE.MI"
21,"FLTR.L"
22,"RMS.PA"
23,"IBE.MC"
24,"ITX.MC"
25,"IFX.DE"
26,"INGA.AS"
27,"ISP.MI"
28,"KER.PA"
29,"OR.PA"
30,"MC.PA"
31,"MBG.DE"
32,"MUV2.DE"
33,"NOKIA.HE"
34,"NDA.FI.HE"
35,"RI.PA"
36,"HEIA.AS"
37,"SAF.PA"
38,"SGO.PA"
39,"SAN.PA"
40,"SAP.DE"
41,"SU.PA"
42,"SIE.DE"
43,"STLAM.MI"
44,"TTE.PA"
45,"UCG.MI"
46,"DG.PA"
47,"VOW3.DE"
48,"VNA.DE"
49,"WKL.AS"
